Provinsi Asal;Pekerja Komuter;Pekerja Sirkuler;<10 km;Transportasi umum
Aceh;83022;22044;43.26;6.83
Sumatera Utara;460645;94044;34.86;12.25
Sumatera Barat;84987;41166;50.86;12.53
Riau;55115;35923;22.16;4.84
Jambi;64519;15911;35.41;1.88
Sumatera Selatan;109093;49165;26.97;12.03
Bengkulu;21135;20957;18.75;8.20
Lampung;154806;62303;33.62;6.84
Bangka Belitung;33477;6751;28.82;1.66
Kepulauan Riau;12854;21371;16.99;23.20
DKI Jakarta;1035784;45055;26.20;14.93
Jawa Barat;2312831;800545;22.38;16.55
Jawa Tengah;1092459;619729;37.65;7.65
DI Yogyakarta;277830;34466;33.99;1.76
Jawa Timur;1038899;348655;28.92;4.97
Banten;795314;120660;21.91;14.52
Bali;268937;10841;29.39;0.60
Nusa Tenggara Barat;86163;39010;44.79;9.82
Nusa Tenggara Timur;18848;8372;29.04;30.56
Kalimantan Barat;75052;30065;30.62;1.88
Kalimantan Tengah;10999;18278;26.37;2.30
Kalimantan Selatan;95504;42606;26.41;2.68
Kalimantan Timur;29925;29414;32.87;2.51
Kalimantan Utara;1389;10602;1.44;20.37
Sulawesi Utara;49523;20595;31.29;19.89
Sulawesi Tengah;27964;10184;30.66;5.23
Sulawesi Selatan;166395;69707;27.30;5.05
Sulawesi Tenggara;26297;26695;21.11;6.64
Gorontalo;28947;8869;46.52;12.54
Sulawesi Barat;5290;12100;57.84;17.43
Maluku;14859;4254;44.64;27.20
Maluku Utara;4844;7232;37.41;66.04
Papua Barat;7218;7925;37.55;25.78
Papua;14563;11052;58.23;6.11
