Provinsi Asal;ODP Total;PDP;Suspect Total;Probable Total;Rapid Test;Kasus (+) Rapid Test;Tes PCR (Sampel);Tes PCR (Sampel +);Tes PCR (Sampel -);Tes PCR (Kasus Baru);Result (+);Result (-);Covid19+ Total;Covid19+ Dirawat;Covid19+ Sembuh;Covid19+ Meninggal;Covid19+ Isolasi
Aceh;0.0;0.0;3544.0;450.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7265.0;1543.0;5460.0;262.0;0.0
Bali;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11520.0;781.0;10361.0;378.0;0.0
Banten;748.0;188.0;20089.0;39.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9013.0;1308.0;7423.0;282.0;0.0
Bangka Belitung;0.0;2048.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6044.0;566.0;5478.0;566.0;64.0;495.0;7.0;0.0
Bengkulu;2989.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9695.0;1017.0;8678.0;1017.0;244.0;725.0;48.0;0.0
DI Yogyakarta;1507.0;212.0;13714.0;3947.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3617.0;557.0;2971.0;89.0;0.0
DKI Jakarta;0.0;0.0;175710.0;3913.0;573373.0;26321.0;1647907.0;223628.0;1424279.0;1224835.0;102678.0;1122157.0;102678.0;2680.0;89060.0;2195.0;8743.0
Jambi;0.0;0.0;3289.0;0.0;0.0;0.0;7897.0;1156.0;6741.0;0.0;0.0;0.0;1156.0;592.0;542.0;22.0;0.0
Jawa Barat;0.0;0.0;83061.0;1595.0;363033.0;7351.0;536891.0;51669.0;480735.0;351173.0;40403.0;308743.0;35447.0;5931.0;28171.0;981.0;364.0
Jawa Tengah;13721.0;3840.0;32771.0;1846.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39036.0;2326.0;31857.0;2817.0;2036.0
Jawa Timur;0.0;0.0;47811.0;813.0;1033319.0;116684.0;0.0;0.0;0.0;430686.0;51506.0;379180.0;51506.0;1025.0;45950.0;3704.0;827.0
Kalimantan Barat;17899.0;1053.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1577.0;0.0;1304.0;12.0;261.0
Kalimantan Timur;0.0;0.0;75835.0;0.0;0.0;0.0;0.0;0.0;0.0;88627.0;13348.0;75279.0;13348.0;2708.0;10175.0;465.0;0.0
Kalimantan Tengah;0.0;0.0;5137.0;77.0;0.0;0.0;0.0;0.0;0.0;20523.0;4243.0;0.0;4243.0;316.0;3776.0;151.0;0.0
Kalimantan Selatan;5091.0;987.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11662.0;664.0;10521.0;477.0;0.0
Kalimantan Utara;0.0;0.0;3786.0;46.0;0.0;0.0;4001.0;4001.0;4001.0;4784.0;783.0;4001.0;783.0;112.0;664.0;7.0;0.0
Kepulauan Riau;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3534.0;830.0;2612.0;92.0;0.0
Nusa Tenggara Barat;0.0;0.0;12212.0;66.0;0.0;0.0;35150.0;5887.0;29251.0;33169.0;3906.0;29251.0;3934.0;490.0;3225.0;219.0;0.0
Sumatera Selatan;0.0;0.0;21717.0;327.0;45297.0;1146.0;0.0;0.0;0.0;33682.0;7581.0;21527.0;7581.0;396.0;6121.0;410.0;654.0
Sumatera Barat;10210.0;1466.0;458.0;0.0;0.0;0.0;273386.0;17469.0;255917.0;209158.0;13375.0;195783.0;13375.0;514.0;8108.0;249.0;4504.0
Sulawesi Utara;0.0;0.0;0.0;88.0;122.0;44.0;0.0;0.0;0.0;0.0;0.0;0.0;5242.0;598.0;4445.0;199.0;0.0
Sumatera Utara;0.0;0.0;0.0;0.0;0.0;0.0;53874.0;12745.0;0.0;0.0;0.0;0.0;12745.0;1845.0;10376.0;524.0;0.0
Sulawesi Tenggara;13846.0;214.0;0.0;0.0;130.0;16.0;0.0;0.0;0.0;19431.0;4713.0;14718.0;4713.0;1287.0;3346.0;80.0;0.0
Sulawesi Selatan;0.0;0.0;11339.0;237.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18155.0;668.0;16124.0;451.0;912.0
Sulawesi Tengah;1810.0;232.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;838.0;202.0;603.0;33.0;0.0
Lampung;0.0;0.0;3767.0;125.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1686.0;518.0;1100.0;68.0;0.0
Riau;97580.0;2508.0;45998.0;0.0;63384.0;868.0;0.0;0.0;0.0;138142.0;13996.0;124146.0;13996.0;530.0;10269.0;313.0;2884.0
Maluku Utara;820.0;674.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2188.0;186.0;1928.0;74.0;0.0
Maluku;745.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3722.0;555.0;3120.0;47.0;0.0
Papua Barat;0.0;0.0;2773.0;24.0;0.0;0.0;0.0;0.0;0.0;24085.0;3974.0;24085.0;3974.0;552.0;3359.0;63.0;0.0
Papua;15966.0;2258.0;0.0;0.0;0.0;0.0;54103.0;54103.0;54103.0;70774.0;9071.0;54103.0;9071.0;3402.0;5524.0;145.0;0.0
Sulawesi Barat;1978.0;152.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;988.0;30.0;784.0;12.0;162.0
Nusa Tenggara Timur;0.0;0.0;2424.0;8.0;15092.0;610.0;7086.0;909.0;5377.0;0.0;0.0;0.0;669.0;198.0;464.0;7.0;0.0
Gorontalo;0.0;0.0;4540.0;2.0;12634.0;410.0;12807.0;12807.0;12807.0;15812.0;3005.0;12807.0;3005.0;45.0;2878.0;82.0;0.0
