ID;Provinsi;Kabupaten/Kota;X.1;IKK;OTG Total;ODP Total;ODP Proses;PDP Total;PDP Proses;PDP MD;SUS T;SUS S;SUS MD;PROB T;PROB S;PROB MD;POS T;POS P;POS S;POS MD;POS IM;Tanggal Update;X.2;Luas Wilayah;Jumlah Penduduk;Penduduk/sq.km;Resolved;RI;CFR (inc ODP, PDP,SUS,PROB);X.3;Rasio Lacak Isolasi (RLI);Kasus Total per 100rb penduduk;Kasus selesai per 100rb penduduk;Kasus total (inc PDP) per 100rb penduduk;Kasus selesai (inc PDP) per 100rb penduduk;Total;Resolved1;Trace;X.4;X.5;IKK Exp;IKK1;IKK2;Resiko BNPB;X.6;X.7;X.8;X.9
1107;Aceh;Aceh Barat;Aceh Barat (ABAR);2.44;null;null;null;null;null;null;136;124;0;25;20;0;83;2;75;6;null;Tanggal;10/27/2020;2928;189119;65;95.92;90.36;5.56;161;1.94;43.89;42.83;57.11;53.41;17.81;5.17;0.29;0.46;-0.17;12.36;2.44;2.81;0;460807.51;4.11;Asumsi PDP > Pos;35
1112;Aceh;Aceh Barat Daya;Aceh Barat Daya (ABDYA);3.83;null;null;null;null;null;null;29;23;0;43;38;3;88;5;76;7;null;Tanggal;10/27/2020;1491;148687;100;94;86.36;7.63;72;0.82;59.18;55.82;88.1;83.4;25.93;6.46;0.21;0.35;-0.14;19.26;3.83;2.15;1;568825.33;14.49;Asumsi Suspect > Pos;30
1108;Aceh;Aceh Besar;Aceh Besar (ABES);5.32;null;null;null;null;null;null;183;183;0;25;24;1;1478;300;1119;59;null;Tanggal;10/27/2020;2969;384661;130;79.7;75.71;3.99;208;0.14;384.23;306.24;390.73;312.74;39.49;12.5;0.22;0.37;-0.15;26.77;5.32;11.57;0;2048086.14;11.81;Asumsi Tracing (exp);3
1116;Aceh;Aceh Jaya;Aceh Jaya (AJAY);3.33;null;null;null;null;null;null;62;0;0;2;0;0;104;19;80;5;null;Tanggal;10/27/2020;3813;86058;23;81.64;76.92;4.72;64;0.62;120.85;98.77;123.17;98.77;24.1;7.03;0.26;0.43;-0.17;16.81;3.33;4.86;0;286493.3;null;Asumsi Tracing (used);5
1103;Aceh;Aceh Selatan;Aceh Selatan (ASEL);4.8;null;null;null;null;null;null;117;91;0;4;0;4;201;9;174;18;null;Tanggal;10/27/2020;3842;230254;60;97.3;86.57;10.73;121;0.6;87.29;83.39;89.03;85.12;30.91;6.52;0.22;0.36;-0.14;24.17;4.8;1.52;0;1106335.05;null;null;null
1102;Aceh;Aceh Singkil;Aceh Singkil (SKL);0;null;null;null;null;null;null;7;7;0;3;3;0;97;0;97;0;null;Tanggal;10/27/2020;2185;129963;59;100;100;0;10;0.1;74.64;74.64;76.94;76.94;0;6.2;0.08;0.14;-0.06;0;0;2.04;0;0;null;null;null
1114;Aceh;Aceh Tamiang;Aceh Tamiang (ATAM);1.39;null;null;null;null;null;null;101;101;0;9;8;1;256;64;188;4;null;Tanggal;10/27/2020;1957;287733;147;75.32;73.44;1.89;110;0.43;88.97;66.73;92.1;69.86;13.18;5.91;0.19;0.31;-0.12;7.09;1.39;2.31;1;400703.17;null;null;null
1106;Aceh;Aceh Tengah;Aceh Tengah (ATENG);1.62;null;null;null;null;null;null;144;125;0;10;5;0;113;0;109;4;null;Tanggal;10/27/2020;4318;208407;48;99.71;96.46;3.25;154;1.36;54.22;54.22;59.02;56.62;13.85;5.32;0.26;0.43;-0.16;8.27;1.62;3.53;0;337762.57;null;null;null
1104;Aceh;Aceh Tenggara;Aceh Tenggara (AGARA);1.4;null;null;null;null;null;null;259;142;0;1;0;1;93;20;71;2;null;Tanggal;10/27/2020;4231;221684;52;79.54;76.34;3.19;260;2.8;41.95;32.93;42.4;33.38;11.63;4.09;0.34;0.54;-0.2;7.21;1.4;6.04;0;310630.97;null;null;null
1105;Aceh;Aceh Timur;Aceh Timur (ATIM);1.27;null;null;null;null;null;null;106;96;0;16;13;0;94;25;65;4;null;Tanggal;10/27/2020;6286;422261;67;72.79;69.15;3.64;122;1.3;22.26;16.34;26.05;19.42;9.73;3.12;0.17;0.27;-0.1;6.45;1.27;1.61;0;536107.03;null;null;null
